cve_id,cwe_id,published_date,base_score,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,is_exploited,cve_age_days
CVE-2020-25752,CWE-798,2021-06-16 19:15:17.470,5.3,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE,0,1825
CVE-2021-24005,CWE-798,2021-07-06 11:15:08.560,4.0,LOCAL,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE,0,1805
CVE-2021-32521,"CWE-259,CWE-798",2021-07-07 14:15:11.143,7.3,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,LOW,0,1804
CVE-2021-33218,CWE-798,2021-07-07 15:15:09.037,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1804
CVE-2021-33219,CWE-798,2021-07-07 15:15:09.073,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1804
CVE-2021-33220,CWE-798,2021-07-07 15:15:09.103,7.8,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1804
CVE-2021-1574,"CWE-285,CWE-798",2021-07-08 19:15:08.700,8.8,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1803
CVE-2021-1576,"CWE-285,CWE-798",2021-07-08 19:15:09.040,8.8,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1803
CVE-2021-20748,CWE-798,2021-07-14 02:15:07.480,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,0,1797
CVE-2021-34688,CWE-798,2021-07-15 14:15:20.370,3.3,LOCAL,LOW,LOW,NONE,UNCHANGED,LOW,NONE,NONE,0,1796
CVE-2021-20537,CWE-798,2021-07-15 18:15:09.110,6.5,NETWORK,LOW,LOW,NONE,UNCHANGED,HIGH,NONE,NONE,0,1796
CVE-2021-0279,CWE-798,2021-07-15 20:15:09.543,8.6,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,LOW,HIGH,0,1796
CVE-2021-21818,"CWE-259,CWE-798",2021-07-16 11:15:09.970,7.5,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,0,1795
CVE-2021-21820,CWE-798,2021-07-16 11:15:10.037,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1795
CVE-2021-36799,CWE-798,2021-07-19 17:15:11.920,8.8,LOCAL,LOW,LOW,NONE,CHANGED,HIGH,HIGH,HIGH,0,1792
CVE-2020-5349,CWE-798,2021-07-19 22:15:09.543,9.8,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,0,1792
CVE-2021-31579,CWE-798,2021-07-22 19:15:08.817,8.2,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,LOW,NONE,0,1789
